"Registration Name","Event No","Event Short Name"
"Alder Drake | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Sam Carlisle | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Yael Locke | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Kira Mitchell | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Xiomara Knox | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Ira Vale | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Fable Thompson | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Zephyr Zane | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Lake Harrison | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Vera Walsh | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Beau Oliver | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Sam Anderson | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Kira Thornton | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Lake Fletcher | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Beau Locke | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Quinn Heath | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Xiomara Abbott | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Willow Ingram | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Fable Marsh | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Lake Archer | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Jesse Graham | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Zion Heath | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Rain Ivory | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Kira Kent | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Hayden Heath | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Jude Vickers | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Ellis Linden | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Eden Reynolds | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Reese Reynolds | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Sam Kemp | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Uri Fairfax | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Corin Knox | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Uma Thornton | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Blake Saxon | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Wren Mercer | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Drew Everett | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Val Vaughan | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Jesse Yates | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Kai Jasper | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Kai Jasper | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Emery Drake | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Marlo Yardley | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Charlie Dawson | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Reese Oliver | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Rain Stewart | EVT116030","EVT116030","Primary Schools - Tuesday 18th June, 10.00-10.45am AEST"
"Zara Jasper | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Cedar Emerson | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Riley Radcliffe | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Jude Irvine | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Logan Jarvis | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Kit Carlisle | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Val Lawson | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Kendall Carlisle | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Cameron Heath | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Val Gallagher | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Noel Radcliffe | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Ash Heath | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Voss Cross | EVT116031","EVT116031","Secondary Schools - Thursday 20th June, 10.00-10.45am AEST"
"Lake Mitchell | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Bay Barker | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Cedar Drake | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Jesse Irving | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Voss Bennett | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Kendall Heath | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Devon Forbes | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Ash Blackwood | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Yuki Quinn | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Alex Vickers | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Arden Zimmerman | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Marley Donovan | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Zion Gallagher | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Corin Walsh | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Olive Vaughan | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Briar Holden | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Ellis Preston | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Ira Urquhart | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Zara Osborne | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Yuki Thornton | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Beau Gallagher | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Kendall Lawson | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Cameron Dawson | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Greer Weston | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Bay Thompson | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Nico Carlisle | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Xiomara Chambers | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Uma Knox | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Willow Heath | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Corin Linden | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Ira Monroe | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Wren Jasper | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Jamie Anderson | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Logan Kirby | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Yuki Harrison | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Jesse Yardley | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Ash York | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Indigo Lawson | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Wren Underwood | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Hart Saxon | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Sage Whitmore | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Alex Edwards | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Pip Yates | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Hayden Saxon | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Jules Yardley | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Echo Norton | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Xiomara Forbes | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Sam Emerson | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Marlo Ingram | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Lake Jensen | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Dale Vale | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Blake Bennett | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Rain Stewart | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Dakota Nash | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Kit Lawson | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Devon Emerson | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Sloane Oliver | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Cedar Randall | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Zion Archer | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Rowan Kirby | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Kira Knox | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Ivy Clarke | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Ivy Clarke | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Rain Chambers | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Haven Fletcher | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Lake Upton | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Beau Vaughan | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Quinn Kirby | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Val Locke | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Eden Yardley | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Noel Ingram | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Blake Fairfax | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Rain Heath | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Riley Ainsley | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Jesse Blackwood | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Jesse Blackwood | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Harper Ellison | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Briar Carlisle | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Kira Whitmore | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Yuki Saxon | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Yuki Lambert | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Dale Emerson | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Yuki Zane | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Beau Oliver | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Kendall Mercer | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Olive Drake | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Uma Neville | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Finley Vaughan | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Oakley Fletcher | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Cedar Hale | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Marlo Jasper | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Flynn Ford | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Noel Everett | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Jamie Kirby | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Yuki Hale | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Kit Preston | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Ash Knox | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Morgan Monroe | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Zion Clarke | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Zephyr Urquhart | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Dale Ellison | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Ellis Clarke | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Charlie Underwood | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Lake Vaughan | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Lane Underwood | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Kendall Urquhart | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Riley Barker | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Ash Blackwood | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Uri Yardley | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Marlo Ainsley | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Cedar Kemp | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Glenn Mercer | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Kira Jarvis | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Briar Urquhart | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Charlie Underwood | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Arden Chambers | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Bay Cross | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Willow Norton | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Kit Lawson | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Kendall Nash | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Kira Saxon | EVT116480","EVT116480","Primary Schools - Tuesday 23rd July, 4.00-4.45pm AEST"
"Indigo Kemp | EVT116563","EVT116563","Secondary Schools - Monday 29th July, 4.00-4.45pm AEST"
"Val Brooke | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Zara Vale | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Cedar Thompson | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Briar Weston | EVT116481","EVT116481","Primary & Secondary Schools - Wednesday 31st July, 4.00-4.45pm AEST"
"Jules Jensen | EVT116482","EVT116482","Primary Schools - Tuesday 6th August, 10.00-10.45am AEST"
"Kira Brooke | EVT116483","EVT116483","Secondary Schools - Tuesday 6th August, 10.00-10.45am AEST"
